last_report_year,election_years,transfers_from_affiliated_committee,net_contributions,individual_contributions,cycle,fundraising_disbursements,coverage_start_date,incumbent_challenge_full,active_through,offsets_to_fundraising_expenditures,loan_repayments_other_loans,office_full,offsets_to_legal_accounting,receipts,repayments_loans_made_by_candidate,last_file_date,refunded_other_political_committee_contributions,net_operating_expenditures,transfers_from_other_authorized_committee,load_date,has_raised_funds,other_loans_received,last_debts_owed_by_committee,district,disbursements,other_receipts,refunded_political_party_committee_contributions,name,incumbent_challenge,all_other_loans,refunded_individual_contributions,other_disbursements,contributions,operating_expenditures,other_political_committee_contributions,federal_funds_flag,contribution_refunds,transfers_to_other_authorized_committee,loans_received,candidate_status,cycles,party,last_f2_date,last_report_type_full,candidate_contribution,flags,last_debts_owed_to_committee,offsets_to_operating_expenditures,office,last_cash_on_hand_end_period,exempt_legal_accounting_disbursement,individual_itemized_contributions,state,federal_funds,first_file_date,full_election,loans_made_by_candidate,political_party_committee_contributions,loans_received_from_candidate,election_districts,loan_repayments_candidate_loans,loan_repayments_made,loans,party_full,district_number,last_net_operating_expenditures,coverage_end_date,total_offsets_to_operating_expenditures,last_beginning_image_number,loan_repayments,last_net_contributions,individual_unitemized_contributions,repayments_other_loans,candidate_id
,[2018],,,,,,,Challenger,2018,,,Senate,,,,2017-09-21,,,,2017-10-05T20:56:00,False,,,00,,,,"ACKISON, MELISSA",C,,,,,,,False,,,,N,[2018],REP,2017-09-21,,,S8OH00094,,,S,,,,OH,,2017-09-21,,,,,[u'00'],,,,REPUBLICAN PARTY,0,,,,,,,,,S8OH00094
,[2018],,,,,,,Challenger,2018,,,House,,,,2017-03-29,,,,2017-04-19T21:05:08,False,,,06,,,,"ADAIR, GLENN DAREN MR. N/A",C,,,,,,,False,,,,N,[2018],LIB,2017-03-29,,,H8TX06209,,,H,,,,TX,,2017-03-29,,,,,[u'06'],,,,LIBERTARIAN PARTY,6,,,,,,,,,H8TX06209
2017,"[2014, 2016, 2018]",,134259.1,28659.1,2018,,2017-01-01T00:00:00+00:00,Incumbent,2018,,0.0,House,,134259.1,,2017-01-23,0.0,68578.76,0.0,2017-05-05T21:04:59,True,,0.0,12,84928.76,0.0,0.0,"ADAMS, ALMA SHEALEY",I,0.0,0.0,6350.0,134259.1,68578.76,105600.0,False,0.0,10000.0,,C,"[2014, 2016, 2018]",DEM,2017-01-23,OCTOBER QUARTERLY,0.0,H4NC12100,0.0,0.0,H,156185.6,,26650.0,NC,,2013-06-27,False,0.0,0.0,,"[u'12', u'12', u'12']",0.0,,0.0,DEMOCRATIC PARTY,12,23684.64,2017-09-30T00:00:00+00:00,,201710139075627140,0.0,42843.0,2009.1,,H4NC12100
,[2018],,,,,,,Challenger,2018,,,Senate,,,,2017-04-24,,,,2017-05-23T07:10:20,False,,,00,,,,"ADAMS, ANN MARIE DR",C,,,,,,,False,,,,N,[2018],DEM,2017-04-24,,,S8CT00105,,,S,,,,CT,,2017-03-01,,,,,[u'00'],,,,DEMOCRATIC PARTY,0,,,,,,,,,S8CT00105
2017,[2018],,68342.3,64569.01,2018,,2017-01-02T00:00:00+00:00,Challenger,2018,,0.0,House,,73417.3,,2017-03-29,0.0,44151.76,0.0,2017-09-13T20:57:39,True,,14126.18,05,47726.76,0.0,0.0,"ADAMS, DENISE DARCEL",C,0.0,75.0,0.0,68417.3,44151.76,2500.0,False,0.0,0.0,,C,[2018],DEM,2017-03-29,OCTOBER QUARTERLY,1348.29,H8NC05063,0.0,0.0,H,25690.54,,51882.46,NC,,2017-03-10,False,5000.0,0.0,,[u'05'],3500.0,,5000.0,DEMOCRATIC PARTY,5,26784.32,2017-09-30T00:00:00+00:00,,201710159075755058,3500.0,19863.0,12686.55,,H8NC05063
,[2018],,,,,,,,2018,,,House,,,,2017-10-30,,,,2017-10-30T20:58:29,False,,,04,,,,"ADAMS, DION",,,,,,,,False,,,,N,[2018],DEM,2017-10-30,,,H8MI04085,,,H,,,,MI,,2017-10-30,,,,,[u'04'],,,,DEMOCRATIC PARTY,4,,,,,,,,,H8MI04085
,[2018],,,,,,,Challenger,2018,,,Senate,,,,2017-08-28,,,,2017-11-09T20:56:45,False,,,00,,,,"ADAMS, DONALD R",C,,,,,,,False,,,,N,[2018],REP,2017-08-28,,,S8CA00325,,,S,,,,CA,,2017-03-21,,,,,[u'00'],,,,REPUBLICAN PARTY,0,,,,,,,,,S8CA00325
2017,[2018],,7938.09,7938.09,2018,,2017-07-01T00:00:00+00:00,Challenger,2018,,0.0,House,,7938.09,,2017-07-07,0.0,1281.83,0.0,2017-10-16T21:00:02,True,,0.0,10,1281.83,0.0,0.0,"ADAMS, KIMBERLY",C,0.0,0.0,0.0,7938.09,1281.83,0.0,False,0.0,0.0,,C,[2018],DEM,2017-07-07,OCTOBER QUARTERLY,0.0,H8VA10148,0.0,0.0,H,6656.26,,3555.59,VA,,2017-07-07,False,0.0,0.0,,[u'10'],0.0,,0.0,DEMOCRATIC PARTY,10,1281.83,2017-09-30T00:00:00+00:00,,201710159075734939,0.0,7938.09,4382.5,,H8VA10148
2017,[2018],,11905.0,9205.0,2018,,2017-04-01T00:00:00+00:00,Challenger,2018,,0.0,Senate,,961905.0,,2017-06-09,0.0,81166.0,0.0,2017-09-15T21:00:12,True,,950000.0,00,81166.0,0.0,0.0,"ADDIS , PAUL DAVID MR",C,0.0,0.0,0.0,11905.0,81166.0,0.0,False,0.0,0.0,,C,[2018],REP,2017-06-09,OCTOBER QUARTERLY,2700.0,S8PA00304,0.0,0.0,S,880738.0,,8800.0,PA,,2017-06-09,False,950000.0,0.0,,[u'00'],0.0,,950000.0,REPUBLICAN PARTY,0,76767.0,2017-09-30T00:00:00+00:00,,201710200200365372,0.0,5800.0,405.0,,S8PA00304
,[2018],,,,,,,Challenger,2018,,,Senate,,,,2017-06-07,,,,2017-08-01T20:57:28,False,,,00,,,,"ADELUOLA, FOLASADE",C,,,,,,,False,,,,N,[2018],DEM,2017-06-07,,,S8VT00117,,,S,,,,VT,,2017-06-07,,,,,[u'00'],,,,DEMOCRATIC PARTY,0,,,,,,,,,S8VT00117
