state,office,district,name,party,general_seat,filing_date,primary_date,election_date
CT,House,5,"Esty, Elizabeth H.",D,I,6/12/18,8/14/18,11/6/18
DE,House,AL,"Rochester, Lisa Blunt",D,I,7/10/18,9/6/18,11/6/18
FL,Senate,,"Jones, Lateresa A.",R,C,5/4/18,8/28/18,11/6/18
FL,Senate,,"Lyles, Tamika",D,CP,5/4/18,8/28/18,11/6/18
FL,Senate,,"Thorne, Marcia",R,C,5/4/18,8/28/18,11/6/18
FL,House,3,"Hinson, Yvonne Hayes",D,C,5/4/18,8/28/18,11/6/18
FL,House,4,"DePaul, Monica Paige",D,C,5/4/18,8/28/18,11/6/18
FL,House,5,"Love, Pam",R,C,5/4/18,8/28/18,11/6/18
FL,House,6,"Soderberg, Nancy E.",D,C,6/4/18,8/28/18,11/6/18
FL,House,7,"Murphy, Stephanie",D,I,5/4/18,8/28/18,11/6/18
FL,House,8,"Grayson, Dena M. Minning",D,C,5/4/18,8/28/18,11/6/18
FL,House,10,"Demings, Val B.",D,I,5/4/18,8/28/18,11/6/18
FL,House,12,"Walker, Kimberly H.",D,C,5/4/18,8/28/18,11/6/18
FL,House,14,"Castor, Kathy A.",D,I,5/4/18,8/28/18,11/6/18
FL,House,14,"Quinn, Christine Y.",R,C,5/4/18,8/28/18,11/6/18
FL,House,15,"Miller, Loretta",R,CP,5/4/18,8/28/18,11/6/18
FL,House,17,"Freeman, April J.",D,C,5/4/18,8/28/18,11/6/18
FL,House,18,"Keith, Pamela",D,C,5/4/18,8/28/18,11/6/18
FL,House,18,"Baer, Lauren",D,C,5/4/18,8/28/18,11/6/18
FL,House,21,"Frankel, Lois J.",D,I,5/4/18,8/28/18,11/6/18
FL,House,23,"Schultz, Debbie Wasserman",D,I,5/4/18,8/28/18,11/6/18
FL,House,23,"Spalding, Carla A.",R,C,5/4/18,8/28/18,11/6/18
FL,House,24,"Wilson, Frederica S.",D,I,5/4/18,8/28/18,11/6/18
FL,House,25,"Valdes, Alina",D,C,5/4/18,8/28/18,11/6/18
FL,House,26,"Mucarsel-Powell, Debbie",D,C,5/4/18,8/28/18,11/6/18
FL,House,27,"Flores, Anitere",R,O,5/4/18,8/28/18,11/6/18
FL,House,27,"Gonzalez, Kristen Rosen",D,O,5/4/18,8/28/18,11/6/18
FL,House,27,"Flores, Mary Barzee",D,O,5/4/18,8/28/18,11/6/18
FL,House,27,"Nunez, Jeanette",R,O,5/4/18,8/28/18,11/6/18
FL,House,27,"Aguilera, Bettina Rodriguez",R,O,5/4/18,8/28/18,11/6/18
GA,House,1,"Ring, Lisa M.",D,C,3/9/18,5/22/18,11/6/18
GA,House,1,"Seidman, Barbara A.",D,C,3/9/18,5/22/18,11/6/18
GA,House,6,"Handel, Karen",R,I,3/9/18,5/22/18,11/6/18
GA,House,7,"Allen, Kathleen",D,C,3/9/18,5/22/18,11/6/18
GA,House,7,"Bourdeaux, Carolyn",D,C,3/9/18,5/22/18,11/6/18
GA,House,7,"Davis, Melissa",D,C,3/9/18,5/22/18,11/6/18
GA,House,10,"Collins, Kellie L.",D,C,3/9/18,5/22/18,11/6/18
GA,House,10,"Montgonmery, Chalis Pomeroy",D,C,3/9/18,5/22/18,11/6/18
GA,House,11,"Webster, Elizabeth N.",D,C,3/9/18,5/22/18,11/6/18
HI,Senate,,"Hirono, Mazie K.",D,I,6/5/18,8/11/18,11/6/18
HI,House,1,"Kim, Donna Mercado",D,O,6/5/18,8/11/18,11/6/18
HI,House,2,"Gabbard, Tulsi",D,I,6/5/18,8/11/18,11/6/18
HI,House,2,"Campagna, Sherly F.",D,CP,6/5/18,8/11/18,11/6/18
IA,House,1,"Finkenauer, Abby",D,C,3/16/18,6/5/18,11/6/18
IA,House,1,"Rowe, Courtney",D,C,3/16/18,6/5/18,11/6/18
IA,House,3,"Axne, Cindy",D,C,3/16/18,6/5/18,11/6/18
IA,House,3,"Ryan, Heather A.",D,C,3/16/18,6/5/18,11/6/18
IA,House,3,"Greenfield, Theresa A.",D,C,3/16/18,6/5/18,11/6/18
IA,House,4,"Jacobsen, Leann",D,C,3/16/18,6/5/18,11/6/18
ID,House,1,"Perry, Christy",R,O,3/9/18,5/15/18,11/6/18
IL,House,2,"Kelly, Robin L.",D,I,12/4/17,3/20/18,11/6/18
IL,House,3,"Newman, Marie",D,CP,12/4/17,3/20/18,11/6/18
IL,House,5,"Mustafa, Sameena",D,CP,12/4/17,3/20/18,11/6/18
IL,House,6,"Howland, Amanda D.",D,C,12/4/17,3/20/18,11/6/18
IL,House,6,"Cheney, Carole",D,C,12/4/17,3/20/18,11/6/18
IL,House,6,"Mazeski, Kelly",D,C,12/4/17,3/20/18,11/6/18
IL,House,6,"Zordani, Jennifer",D,C,12/4/17,3/20/18,11/6/18
IL,House,6,"Wilkins, Becky Anderson",D,C,12/4/17,3/20/18,11/6/18
IL,House,9,"Schakowsky, Jan D.",D,I,12/4/17,3/20/18,11/6/18
IL,House,13,"Londrigan, Betsy Dirksen",D,C,12/4/17,3/20/18,11/6/18
IL,House,14,"Underwood, Lauren A.",D,C,12/4/17,3/20/18,11/6/18
IL,House,16,"Dady, Sara",D,C,12/4/17,3/20/18,11/6/18
IL,House,16,"Briel, Amy Murri",D,C,12/4/17,3/20/18,11/6/18
IL,House,17,"Bustos, Cheri L.",D,I,12/4/17,3/20/18,11/6/18
IN,House,2,"Walorski, Jackie Swihart",R,I,2/9/18,5/8/18,11/6/18
IN,House,2,"Hackett, Mary Patricia",D,C,2/9/18,5/8/18,11/6/18
IN,House,3,"Tritch, Courtney",D,C,2/9/18,5/8/18,11/6/18
IN,House,4,"Shipley, Sheryl",D,C,2/9/18,5/8/18,11/6/18
IN,House,4,"Beck, Tobi",D,C,2/9/18,5/8/18,11/6/18
IN,House,5,"Brooks, Susan W.",R,I,2/9/18,5/8/18,11/6/18
IN,House,7,"Spicer, Sue",D,CP,2/9/18,5/8/18,11/6/18
IN,House,9,"Watson, Liz",D,C,2/9/18,5/8/18,11/6/18
KS,House,2,"Tyson, Caryn",R,O,6/1/18,8/7/18,11/6/18
KS,House,3,"Ramsey, Andrea",D,C,6/1/18,8/7/18,11/6/18
KS,House,4,"Lombard, Laura",D,C,6/1/18,8/7/18,11/6/18
KY,House,4,"Lord, Christina",D,C,1/30/18,5/22/18,11/6/18
KY,House,6,"McGrath, Amy",D,C,1/30/18,5/22/18,11/6/18
KY,House,6,"Combs, Leslie",D,C,1/30/18,5/22/18,11/6/18
MA,Senate,,"Warren, Elizabeth A.",D,I,6/5/18,9/18/18,11/6/18
MA,Senate,,"Lindstrom, Beth",R,C,6/5/18,9/18/18,11/6/18
MA,Senate,,"Wellman, Heidi M.",R,C,6/5/18,9/18/18,11/6/18
MA,House,3,"Donoghue, Eileen",D,O,6/5/18,9/18/18,11/6/18
MA,House,3,"L'Italien, Barbara",D,O,6/5/18,9/18/18,11/6/18
MA,House,3,"Harrington, Sheila",R,O,6/5/18,9/18/18,11/6/18
MA,House,3,"Meehan, Ellen",D,O,6/5/18,9/18/18,11/6/18
MA,House,3,"Trahan, Lori",D,O,6/5/18,9/18/18,11/6/18
MA,House,3,"Matias, Juana B.",D,O,6/5/18,9/18/18,11/6/18
MA,House,3,"Chandler, Alexancra E.",D,O,6/5/18,9/18/18,11/6/18
MA,House,3,"Malone, Bopha T.",D,O,6/5/18,9/18/18,11/6/18
MA,House,5,"Clark, Katherine M.",D,I,6/5/18,9/18/18,11/6/18
MA,House,8,"Wu, Brianna",D,CP,6/5/18,9/18/18,11/6/18
MD,Senate,,"Wilson, Debbie F.",D,CP,2/27/18,6/26/18,11/6/18
MD,House,1,"Galbraith, Allison",D,C,2/27/18,6/26/18,11/6/18
MD,House,4,"Black, Thereasa M.",D,CP,2/27/18,6/26/18,11/6/18
MD,House,6,"Miller, Aruna",D,O,2/27/18,6/26/18,11/6/18
MD,House,6,"Schulz, Kelly",R,O,2/27/18,6/26/18,11/6/18
MD,House,6,"Hoeber, Amie",R,O,2/27/18,6/26/18,11/6/18
ME,House,1,"Pingree, Chellie M.",D,I,,6/12/18,11/6/18
MI,Senate,,"Stabenow, Debbie A.",D,I,4/24/18,8/7/18,11/6/18
MI,House,3,"Albro, Cathy",D,C,4/24/18,8/7/18,11/6/18
MI,House,7,"Driskell, Gretchen D.",D,C,4/24/18,8/7/18,11/6/18
MI,House,8,"Slotkin, Elissa",D,C,4/24/18,8/7/18,11/6/18
MI,House,11,"Stevens, Haley",D,O,4/24/18,8/7/18,11/6/18
MI,House,11,"Saad, Fayrouz",D,O,4/24/18,8/7/18,11/6/18
MI,House,11,"Epstein, Lena",R,O,4/24/18,8/7/18,11/6/18
MI,House,12,"Dingell, Debbie",D,I,4/24/18,8/7/18,11/6/18
MI,House,14,"Lawrence, Brenda L.",D,I,4/24/18,8/7/18,11/6/18
MN,Senate,,"Klobuchar, Amy",DFL,I,6/5/18,8/14/18,11/6/18
MN,House,1,"Jensen, Vicki",DFL,O,6/5/18,8/14/18,11/6/18
MN,House,1,"Mustafa, Regina",DFL,O,6/5/18,8/14/18,11/6/18
MN,House,1,"Nelson, Carla",R,O,6/5/18,8/14/18,11/6/18
MN,House,2,"Craig, Angela",DFL,C,6/5/18,8/14/18,11/6/18
MN,House,3,"Donahue, Alicia",DFL,C,6/5/18,8/14/18,11/6/18
MN,House,4,"McCollum, Betty",DFL,I,6/5/18,8/14/18,11/6/18
MN,House,8,"Philfer, Leah",DFL,CP,6/5/18,8/14/18,11/6/18
MO,Senate,,"McCaskill, Claire",D,I,3/27/18,8/7/18,11/6/18
MO,Senate,,"Haefner, Marsha",R,C,3/27/18,8/7/18,11/6/18
MO,Senate,,"Earl, Angelica",D,CP,3/27/18,8/7/18,11/6/18
MO,House,1,"Bolhafner, Susan",D,CP,3/27/18,8/7/18,11/6/18
MO,House,1,"Bush, Cori",D,CP,3/27/18,8/7/18,11/6/18
MO,House,2,"Wagner, Ann L.",R,I,3/27/18,8/7/18,11/6/18
MO,House,2,"Dunaway, Kelli L.",D,C,3/27/18,8/7/18,11/6/18
MO,House,4,"Hartzler, Vicky Jo",R,I,3/27/18,8/7/18,11/6/18
MO,House,4,"Hoagenson, Suzanne Renee",D,C,3/27/18,8/7/18,11/6/18
MO,House,4,"Bourgeois, Jenna M.",R,C,3/27/18,8/7/18,11/6/18
MO,House,6,"Squires, Jenna",D,C,3/27/18,8/7/18,11/6/18
MO,House,8,"Ellis, Kathryn",D,C,3/27/18,8/7/18,11/6/18
MT,Senate,,"Dean, Sarah A.",D,CP,3/12/18,6/5/18,11/6/18
MT,House,AL,"Curtis, Amanda",D,D,3/12/18,6/5/18,11/6/18
MT,House,AL,"Moss, Lynda Bourque",D,C,3/12/18,6/5/18,11/6/18
MT,House,AL,"Williams, Kathleen",D,C,3/12/18,6/5/18,11/6/18
NC,House,2,"May, Wendy Ella",D,C,2/28/18,5/8/18,11/6/18
NC,House,2,"Coleman, Linda D.",D,C,2/28/18,5/8/18,11/6/18
NC,House,4,"Brian, Lee Andrea",R,C,2/28/18,5/8/18,11/6/18
NC,House,5,"Foxx, Virginia A.",R,I,2/28/18,5/8/18,11/6/18
NC,House,5,"Adams, Denise Darcel",D,C,2/28/18,5/8/18,11/6/18
NC,House,5,"Marshall, Jennifer",D,C,2/28/18,5/8/18,11/6/18
NC,House,7,"Horton, Kyle",D,C,2/28/18,5/8/18,11/6/18
NC,House,9,"Warren, Maria Collins",D,C,2/28/18,5/8/18,11/6/18
NC,House,12,"Adams, Alma S.",D,I,2/28/18,5/8/18,11/6/18
ND,Senate,,"Heitkamp, Heidi",D-NPL,I,4/9/18,6/12/18,11/6/18
ND,Senate,,"Neset, Kathy",R,C,4/9/18,6/12/18,11/6/18
NE,Senate,,"Fischer, Deb",R,I,3/1/18,5/15/18,11/6/18
NE,Senate,,"Raybould, Jane",D,C,3/1/18,5/15/18,11/6/18
NE,House,1,"McClure, Jessica",D,C,3/1/18,5/15/18,11/6/18
NE,House,2,"Eastman, Kara",D,C,3/1/18,5/15/18,11/6/18
NH,House,1,"Sullivan, Maura C.",D,O,6/15/18,9/11/18,11/6/18
NH,House,1,"Messmer, Mindi F.",D,O,6/15/18,9/11/18,11/6/18
NH,House,2,"Kuster, Ann McLane",D,I,6/15/18,9/11/18,11/6/18
NH,House,2,"Blankenbeker, Lynne",R,C,6/15/18,9/11/18,11/6/18
NJ,House,2,"Youngblood, Tanzie",D,O,4/2/18,6/5/18,11/6/18
NJ,House,7,"Brown, Lindsay",R,CP,4/2/18,6/5/18,11/6/18
NJ,House,7,"Weber, Linda",D,C,4/2/18,6/5/18,11/6/18
NJ,House,7,"Mandelblatt, Lisa",D,C,4/2/18,6/5/18,11/6/18
NJ,House,11,"Sherrill, Mikie",D,C,4/2/18,6/5/18,11/6/18
NJ,House,11,"Harris, Tamara",D,C,4/2/18,6/5/18,11/6/18
NJ,House,12,"Coleman, Bonnie Watson",D,I,4/2/18,6/5/18,11/6/18
NM,House,1,"Lopez, Antoinette Sedillo",D,O,3/13/18,6/5/18,11/6/18
NM,House,1,"Haaland, Debra A.",D,O,3/13/18,6/5/18,11/6/18
NM,House,1,"Arnold-Jones, Janice",R,O,3/13/18,6/5/18,11/6/18
NM,House,2,"Hildebrandt, Lori M.",D,O,3/13/18,6/5/18,11/6/18
NM,House,2,"Herrell, Yvette",R,O,3/13/18,6/5/18,11/6/18
NV,Senate,,"Rosen, Jacklyn S.",D,C,3/16/18,6/12/18,11/6/18
NV,House,1,"Titus, Dina C.",D,I,3/16/18,6/12/18,11/6/18
NV,House,2,"Angle, Sharron E. Ott",R,CP,3/16/18,6/12/18,11/6/18
NV,House,3,"Seaman, Victoria",R,O,3/16/18,6/12/18,11/6/18
NV,House,3,"Cannizzaro, Nicole",D,O,3/16/18,6/12/18,11/6/18
NV,House,3,"Woodhouse, Joyce",D,O,3/16/18,6/12/18,11/6/18
NV,House,3,"Lee, Susie",D,O,3/16/18,6/12/18,11/6/18
NV,House,3,"Gulbis, Natalie",R,O,3/16/18,6/12/18,11/6/18
NV,House,3,"Mortensen, Michelle",R,O,3/16/18,6/12/18,11/6/18
NV,House,4,"Vilela, Amy",D,CP,3/16/18,6/12/18,11/6/18
NY,Senate,,"Gillibrand, Kirsten E.",D,I,4/12/18,6/26/18,11/6/18
NY,House,1,"Viloria-Fisher, Vivian",D,C,4/12/18,6/26/18,11/6/18
NY,House,1,"DiMasi, Elaine",D,C,4/12/18,6/26/18,11/6/18
NY,House,1,"Browning, Kate",D,C,4/12/18,6/26/18,11/6/18
NY,House,2,"Shirley, Liuba Grechen",D,C,4/12/18,6/26/18,11/6/18
NY,House,4,"Rice, Kathleen M.",D,I,4/12/18,6/26/18,11/6/18
NY,House,6,"Meng, Grace",D,I,4/12/18,6/26/18,11/6/18
NY,House,7,"Velazquez, Nydia M.",D,I,4/12/18,6/26/18,11/6/18
NY,House,9,"Clarke, Yvette D.",D,I,4/12/18,6/26/18,11/6/18
NY,House,12,"Maloney, Carolyn B.",D,I,4/12/18,6/26/18,11/6/18
NY,House,14,"Ocasio-Cortez, Alexandria",D,CP,4/12/18,6/26/18,11/6/18
NY,House,17,"Lowey, Nita M.",D,I,4/12/18,6/26/18,11/6/18
NY,House,18,"Brown, Sakima A.",R,C,4/12/18,6/26/18,11/6/18
NY,House,21,"Stefanik, Elise M.",R,I,4/12/18,6/26/18,11/6/18
NY,House,21,"Cobb, Tedra L.",D,C,4/12/18,6/26/18,11/6/18
NY,House,21,"Martz, Emily",D,C,4/12/18,6/26/18,11/6/18
NY,House,21,"Wilson, Katie",D,C,4/12/18,6/26/18,11/6/18
NY,House,21,"Boone, Tanya",D,C,4/12/18,6/26/18,11/6/18
NY,House,22,"Tenney, Claudia",R,I,4/12/18,6/26/18,11/6/18
NY,House,23,"Mitrano, Tracy",D,C,4/12/18,6/26/18,11/6/18
NY,House,24,"Messenger, Anne",D,C,4/12/18,6/26/18,11/6/18
NY,House,24,"Balter, Dana",D,C,4/12/18,6/26/18,11/6/18
NY,House,25,"Slaughter, Louise M.",D,I,4/12/18,6/26/18,11/6/18
OH,Senate,,"Ackison, Melissa",R,C,2/7/18,5/8/18,11/6/18
OH,House,1,"Weaver, Laura Ann",D,C,2/7/18,5/8/18,11/6/18
OH,House,1,"Young, Michele L.",D,C,2/7/18,5/8/18,11/6/18
OH,House,2,"Everhard, Janet S.",D,C,2/7/18,5/8/18,11/6/18
OH,House,3,"Beatty, Joyce B.",D,I,2/7/18,5/8/18,11/6/18
OH,House,9,"Kaptur, Marcy C.",D,I,2/7/18,5/8/18,11/6/18
OH,House,11,"Fudge, Marcia L.",D,I,2/7/18,5/8/18,11/6/18
OH,House,12,"O'Brien, Carol",R,O,2/7/18,5/8/18,11/6/08
OH,House,14,"Rader, Betsy",D,C,2/7/18,5/8/18,11/6/18
OH,House,16,"Hagan, Christina M.",R,O,2/7/18,5/8/18,11/6/18
